uid,body,title,url,newspaper_uid,host,n_tokens_title,n_tokens_body
e976654944174c87ffacab88947ed6c4,"No hay días aburridos para los fotoperiodistas de EL UNIVERSAL. Ya sea de madrugada, en sus días de descanso o en los de “agenda floja”, los fotógrafos de esta casa editorial se la pasan cazando con pasión las imágenes que ya han visualizado incluso antes de encontrarlas.","Sismo, mariachis y una noche con paramédicos, en las mejores fotos de la semana",http://www.eluniversal.com.mx/cultura/artes-visuales/una-noche-con-paramedicos-y-sismo-en-las-mejores-fotos-de-la-semana,eluniversal,www.eluniversal.com.mx,7,19
8f02d887043b8a4c09ae7fff05e7d1fb," En Querétaro, 84% de las llamadas de emergencia a la línea 911 relacionadas con violencia contra las mujeres corresponden a incidentes de pareja, reporta el Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública (SESNSP).",Querétaro es el quinto estado con más llamadas por violencia a mujeres,https://www.eluniversalqueretaro.mx/portada/captan-2-mil-800-reportes-de-violencia-mujeres,eluniversal,www.eluniversalqueretaro.mx,5,18
acd1487873f78364f4dd2a2ae1ee3d0f,"Luego de que el académico universitario John Ackerman, esposo de Irma Eréndira Sandoval, titular de la Secretaría de la Función Pública (SFP), asegurara esta mañana, tras el atentado contra Omar García Harfuch, secretario capitalino de Seguridad Ciudadana, que los sicarios del narco son “la contracara del sicariato mediático”, el Comité para la Protección de los Periodistas (CPJ, por sus siglas en inglés), expresó su preocupación por cualquier caracterización de periodistas mexicanos como “sicarios”, debido a que México es uno de los países más violentos para la prensa al nivel mundial.",Preocupa a CPJ expresiones de Ackerman contra la prensa tras atentado de García Harfuch,http://www.eluniversal.com.mx/nacion/preocupa-cpj-expresiones-de-ackerman-contra-la-prensa-tras-atentado-de-garcia-harfuch,eluniversal,www.eluniversal.com.mx,9,50
46324a92efff5a6e9e66e571366f0e5e," La visa de turista B1/B2 es un requisito para los mexicanos que desean visitar Estados Unidos. Con la categoría B1 se viaja por reuniones de negocios, conferencias de trabajo o convenciones. ",coronavirus se puede viajar de mexico estados unidos con visa de turista,https://www.viveusa.mx/destinos/coronavirus-se-puede-viajar-de-mexico-estados-unidos-con-visa-de-turista,eluniversal,www.viveusa.mx,7,14
b77df04458a816c5c48c0397d3c4bbe3,La Comisión Nacional de Derechos Humanos (CNDH) exhortó al académico John Ackerman a respetar los derechos humanos de los periodistas.,CNDH exhorta a Ackerman a respetar los derechos humanos de periodistas ,http://www.eluniversal.com.mx/nacion/cndh-exhorta-ackerman-respetar-los-derechos-humanos-de-periodistas,eluniversal,www.eluniversal.com.mx,7,13
bebe996f5927072e655061faf9403c1a," Las calificaciones y certificados correspondientes al ciclo escolar 2019-2020, ya están disponibles y pueden consultarse a través de las páginas seslp.gob.mx, http://cpte.gob.mx/calificaciones/ y en la aplicación para celular Calificaciones SLP, informó su titular Joel Ramírez Díaz, quien precisó que en ambos casos es un trámite completamente gratuito. ",Ofrece la SEGE consulta de boleta de calificaciones y certificados a través de celular e internet,https://sanluis.eluniversal.com.mx/sociedad/22-06-2020/ofrece-la-sege-consulta-de-boleta-de-calificaciones-y-certificados-traves-de,eluniversal,sanluis.eluniversal.com.mx,9,26
337a649c46c559e9c400d534320c7bf1," Juchitán de Zaragoza. - El Ayuntamiento de San Mateo del Mar, comunidad Ikoots, del Istmo de Tehuantepec en Oaxaca, confirmó la masacre de 15 habitantes indígenas como resultado de un conflicto político-electoral entre la cabecera municipal y otras comunidades. ",Confirman masacre de 15 ikoots en San Mateo del Mar por conflicto político-electoral ,https://oaxaca.eluniversal.com.mx/municipios/22-06-2020/confirman-masacre-de-15-ikoots-en-san-mateo-del-mar-por-conflicto-politico,eluniversal,oaxaca.eluniversal.com.mx,7,20
c0ba63c4f19b6e340080bdb19328e29d,"A través de su cuenta de Twitter, la Benemérita Universidad Autónoma de Puebla (BUAP), informó que como consecuencia de la emergencia sanitaria por Covid-19, el Proceso de Admisión 2020 deberá posponerse, atendiendo las recomendaciones de las autoridades federales.",Admisión BUAP 2020: Examen de admisión se pospone,http://www.unionpuebla.mx/articulo/2020/06/01/educacion/admision-buap-2020-examen-de-admision-se-pospone,eluniversal,www.unionpuebla.mx,5,20
eff070b0aea84b8d1474afad29b5bf26,"México llegó, al corte de este 28 de junio, a 26 mil 648 muertes por Covid-19, con 216 mil 852 casos de coronavirus, según informaron autoridades de la Secretaría de Salud.","México llega a 216 mil 852 casos de Covid-19; hay 26,648 muertes ",http://www.eluniversal.com.mx/nacion/sociedad/coronavirus-28-de-junio-mexico-llega-216-mil-852-casos-hay-26648-muertes,eluniversal,www.eluniversal.com.mx,5,14
1b30d62334cd7dcd9295832d8f4b7481,"La Comisión Permanente del Congreso de la Unión convocó a periodo extraordinario de sesiones del Senado de la República para este 29 y 30 de junio, para aprobar el paquete legislativo que de vigencia plena al T-MEC, este 1 de julio.",Citan a periodo extraordinario en el Senado por paquete legislativo del T-MEC,http://www.eluniversal.com.mx/nacion/citan-periodo-extraordinario-en-el-senado-por-paquete-legislativo-del-t-mec,eluniversal,www.eluniversal.com.mx,6,17
b8b479001f9c9514aab94f27a52fc0ed,"El presidente Andrés Manuel López Obrador estimó que para julio próximo se detendrá la caída de los empleos formales ante el IMSS porque como adelantó la crisis económica será en ""V"".","Caída de empleos se detendrá en julio, estima AMLO",http://www.eluniversal.com.mx/nacion/caida-de-empleos-se-detendra-en-julio-estima-amlo,eluniversal,www.eluniversal.com.mx,6,17
