article_author,article_date,article_location,body,title,url
Víctor Sancho / Corresponsal,08/07/2020,,"El secretario de Estado de Estados Unidos, Mike Pompeo, se mostró convencido de que las reuniones y encuentros entre las delegaciones mexicana y estadounidense que se llevarán a cabo hoy en Washington abordarán un “gran abanico” de temas e, incluso, irán más allá de la reunión bilateral y tendrán un espacio para temas hemisféricos, como la situación en Venezuela.","Venezuela y otros temas, en la reunión EU-México, dice Pompeo",http://www.eluniversal.com.mx/mundo/venezuela-y-otros-temas-en-la-reunion-eu-mexico-dice-pompeo
Universal Deportes y EFE,08/07/2020,,"El Wolverhampton sigue en su pelea por puestos europeos cuando este miércoles visite al Sheffield United, en duelo correspondiente a la Jornada 34 de la Premier League.","¡En vivo! Sheffield United vs Wolverhampton – Premier League, Jornada 34",http://www.eluniversal.com.mx/universal-deportes/futbol/premier-league-en-vivo-sheffield-united-vs-wolverhampton-j34
Redacción,07/07/2020,,"Omar Gómez Trejo, titular de la Unidad Especial de Investigación y Litigación del Caso Ayotzinapa, informó que esta tarde fueron identificados los restos de Christian Alfonso Rodríguez Telumbre, uno de los 43 normalistas de Ayotzinapa desaparecidos en 2014.","¿Quién era Christian Alfonso Rodríguez, normalista de Ayotzinapa? ",http://www.eluniversal.com.mx/nacion/quien-era-christian-alfonso-rodriguez-normalista-de-ayotzinapa
Redacción,29/06/2020,,"
Este 2020 se cumplirán 8 años del asesinato de Karla Pontigo Lucciotto en el desaparecido antro Play. La noche del 28 de octubre de 2012 fue el comienzo de la travesía de Esperanza Lucciotto, madre de Karla, para buscar justicia y demostrar que la muerte de su hija no fue un accidente.","A ocho años de su asesinato, estrenan documental “Justicia para Karla Pontigo” ",https://sanluis.eluniversal.com.mx/sociedad/29-06-2020/ocho-anos-de-su-asesinato-estrenan-documental-justicia-para-karla-pontigo
,08/07/2020,,"Triste, desangelado, apagado, gris, cualquier adjetivo es válido cuando el futbol no tiene gente en los estadios. Cuando veíamos el regreso de los grandes torneos en Europa con la Bundesliga, La Liga, la Premier League o la Serie A, probablemente no dimensionamos lo que sería un partido sin aficionados.",La soledad y desánimo en el Pumas vs América,https://www.eluniversal.com.mx/opinion/gerardo-velazquez-de-leon/la-soledad-y-desanimo-en-el-pumas-vs-america
,08/07/2020,,"
El horror: 26 personas asesinadas en un centro de rehabilitación de Irapuato.",¿Cómo explicar Guanajuato?,https://www.eluniversal.com.mx/opinion/alejandro-hope/como-explicar-guanajuato
Barra Brava,07/07/2020,,Una llamada telefónica creó toda una especulación sobre la presunta salida de Milton Caraglio del Cruz Azul.,Milton Caraglio no se irá del Cruz Azul,http://www.eluniversal.com.mx/universal-deportes/futbol/liga-mx-milton-caraglio-no-se-ira-del-cruz-azul
Fernando Miranda,03/07/2020,,"
La Fiscalía General de Oaxaca (FGEO) informó que elementos de esta instancia de procuración de justicia aprehendieron este viernes al presunto feminicida de María Concepción, adolescente de 17 años que fue asesinada junto Alexander, su bebé de un año y 10 meses, en Ejutla de Crespo.",Detiene Fiscalía a presunto feminicida de María y su bebé,https://oaxaca.eluniversal.com.mx/seguridad/03-07-2020/detiene-fiscalia-presunto-feminicida-de-maria-y-su-bebe
Rebeca Jiménez / reportera,08/07/2020,,"Naucalpan, Méx.— “Viajamos al tope en horas pico”, “no hay para donde hacerse, ni sabemos hacia dónde es más seguro respirar”, expresaron pasajeros —en semáforo rojo epidemiológico por Covid-19— que usan el transporte público en el Estado de México y que llegan al Mexipuerto y paradero norte del Metro Cuatro Caminos, desde Santa Cruz Ayotuxco, en Huixquilucan, San Francisco Chimalpa y de colonias como Las Chamapas.","“Horas pico, sin sana distancia”",http://www.eluniversal.com.mx/metropoli/horas-pico-sin-sana-distancia
Periodistas de EL UNIVERSAL,08/07/2020,,"Esta tarde, en el jardín de las rosas de la Casa Blanca, los presidentes Andrés Manuel López Obrador y Donald Trump firman una declaración conjunta México-EU, nos adelantan. ",La declaración AMLO-Trump,https://www.eluniversal.com.mx/nacion/bajo-reserva-expres-la-declaracion-amlo-trump
